Year,Date,Host City,Winner,Song,Performer,Points,Margin,Runner-up
1956,24-May,Lugano,Switzerland,"Refrain",Lys Assia,Not announced,Not announced,Not announced
1957,3-Mar,Frankfurt,Netherlands,"Net als toen",Corry Brokken,31,14,France
1958,12-Mar,Hilversum,France,"Dors, mon amour",AndrÈ Claveau,27,3,Switzerland
1959,11-Mar,Cannes,Netherlands,"Een beetje",Teddy Scholten,21,5,United Kingdom
1960,29-Mar,London,France,"Tom Pillibi",Jacqueline Boyer,32,7,United Kingdom
1961,18-Mar,Cannes,Luxembourg,"Nous les amoureux",Jean-Claude Pascal,31,7,United Kingdom
1962,18-Mar,Luxembourg,France,"Un premier amour",Isabelle Aubret,26,13,Monaco
1963,23-Mar,London,Denmark,"Dansevise",Grethe and J¯rgen Ingmann,42,2,Switzerland
1964,21-Mar,Copenhagen,Italy,"Non ho l'et‡",Gigliola Cinquetti,49,32,United Kingdom
1965,20-Mar,Naples,Luxembourg,"PoupÈe de cire, poupÈe de son",France Gall,32,6,United Kingdom
1966,5-Mar,Luxembourg,Austria,"Merci, ChÈrie",Udo J¸rgens,31,15,Sweden
1967,8-Apr,Vienna,United Kingdom,"Puppet on a String",Sandie Shaw,47,25,Ireland
1968,6-Apr,London,Spain,"La, la, la",Massiel,29,1,United Kingdom
1969,29-Mar,Madrid,Spain|United Kingdom|Netherlands|France,"Vivo cantando|Boom Bang-a-Bang|De troubadour|Un jour, un enfant",SalomÈ|Lulu|Lenny Kuhr|Frida Boccara,18,No runner-up,No runner-up
1970,21-Mar,Amsterdam,Ireland,"All Kinds of Everything",Dana,32,6,United Kingdom
1971,3-Apr,Dublin,Monaco,"Un banc, un arbre, une rue",SÈverine,128,12,Spain
1972,25-Mar,Edinburgh,Luxembourg,"AprèËs toi",Vicky Leandros,128,14,United Kingdom
1973,7-Apr,Luxembourg,Luxembourg,"Tu te reconnaÓtras",Anne-Marie David,129,4,Spain
1974,6-Apr,Brighton,Sweden,"Waterloo",ABBA,24,6,Italy
1975,22-Mar,Stockholm,Netherlands,"Ding-a-dong",Teach-In,152,14,United Kingdom
1976,3-Apr,The Hague,United Kingdom,"Save Your Kisses for Me",Brotherhood of Man,164,17,France
1977,7-May,London,France,"L'oiseau et l'enfant",Marie Myriam,136,15,United Kingdom
1978,22-Apr,Paris,Israel,"A-Ba-Ni-Bi",Izhar Cohen and the Alphabeta,157,32,Belgium
1979,31-Mar,Jerusalem,Israel,"Hallelujah",Milk and Honey,125,9,Spain
1980,19-Apr,The Hague,Ireland,"What's Another Year",Johnny Logan,143,15,Germany
1981,4-Apr,Dublin,United Kingdom,"Making Your Mind Up",Bucks Fizz,136,4,Germany
1982,24-Apr,Harrogate,Germany,"Ein biﬂchen Frieden",Nicole,161,61,Israel
1983,23-Apr,Munich,Luxembourg,"Si la vie est cadeau",Corinne Hermès,142,6,Israel
1984,5-May,Luxembourg,Sweden,"Diggi-Loo Diggi-Ley",Herreys,145,8,Ireland
1985,4-May,Gothenburg,Norway,"La det swinge",Bobbysocks!,123,18,Germany
